<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Asiatech-a,20220427,6660.00,6660,6660,6660.00,299996880
Asiatech-a,20220430,6990.00,6990,6990,6720.00,380521
Asiatech-a,20220501,7050.00,7050,7050,7050.00,2271948
Asiatech-a,20220502,7400.00,7400,7400,7400.00,2268119
Asiatech-a,20220507,7770.00,7770,7770,7770.00,2062089
Asiatech-a,20220508,8150.00,8150,8150,8150.00,7358060
Asiatech-a,20220509,8550.00,8550,8550,8550.00,8850975
Asiatech-a,20220510,8970.00,8970,8970,8970.00,10642398
Asiatech-a,20220511,9410.00,9410,9410,9410.00,13554956
Asiatech-a,20220514,9880.00,9880,9880,9880.00,17565676
Asiatech-a,20220515,10370.00,10370,10370,10370.00,10950050
Asiatech-a,20220516,10880.00,10880,10880,10880.00,14634631
Asiatech-a,20220517,11420.00,11420,11420,11420.00,59706572
Asiatech-a,20220518,11570.00,11990,11570,11870.00,174177988
Asiatech-a,20220521,12120.00,12460,11610,12270.00,39487974
Asiatech-a,20220522,12860.00,12880,12610,12860.00,14649764
Asiatech-a,20220523,13500.00,13500,13500,13500.00,7397314
Asiatech-a,20220524,14170.00,14170,14170,14170.00,6061131
Asiatech-a,20220525,14860.00,14870,14210,14810.00,120423196
Asiatech-a,20220528,15550.00,15550,14600,15500.00,60586602
Asiatech-a,20220529,15900.00,16040,14730,15070.00,71128280
Asiatech-a,20220530,14400.00,14900,14320,14390.00,49102233
Asiatech-a,20220531,14120.00,15000,14110,14750.00,40342311
Asiatech-a,20220601,0.00,15480,14770,15330.00,23295153
Asiatech-a,20220606,15900.00,16090,15360,15990.00,47387665
Asiatech-a,20220607,16210.00,16780,16210,16690.00,11221272
Asiatech-a,20220608,17520.00,17520,17520,17520.00,6235807
Asiatech-a,20220611,18370.00,18390,17650,18320.00,25745580
Asiatech-a,20220619,17650.00,18190,17410,17640.00,19322850
Asiatech-a,20220620,16760.00,17390,16760,16840.00,86102884
Asiatech-a,20220621,17200.00,17680,17070,17600.00,45800985
Asiatech-a,20220622,17740.00,18100,16720,17090.00,39148248
Asiatech-a,20220625,16600.00,16940,16240,16280.00,14384932
Asiatech-a,20220626,15750.00,16070,15470,15550.00,32410818
Asiatech-a,20220627,16000.00,16320,15650,16080.00,13145276
Asiatech-a,20220628,16050.00,16050,15280,15310.00,20725696
Asiatech-a,20220629,15310.00,15900,14550,15020.00,20876170
Asiatech-a,20220702,15340.00,15440,15010,15210.00,7459616
Asiatech-a,20220703,15400.00,15960,15220,15630.00,10268539
Asiatech-a,20220704,15590.00,15880,15000,15140.00,10390001
Asiatech-a,20220705,14900.00,15510,14400,15100.00,11295012
Asiatech-a,20220706,14730.00,15750,14660,15280.00,12359632
Asiatech-a,20220709,15400.00,15690,14950,15340.00,10010935
Asiatech-a,20220711,15400.00,15600,14880,15090.00,6052694
Asiatech-a,20220712,15100.00,15200,14340,14800.00,8047862
Asiatech-a,20220713,14960.00,15540,14770,15420.00,11501516
Asiatech-a,20220716,15520.00,16090.00,15010.00,15820.00,15045498
