<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20120205,3412.42,3412,3412,3412.42,20000
Meyar Sanat-a,20120207,3314.92,3315,3315,3314.92,1820
Meyar Sanat-a,20120208,3314.92,3315,3315,3314.92,1600
Meyar Sanat-a,20120429,3314.92,3315,3315,3314.92,10000
Meyar Sanat-a,20131125,974.98,975,975,974.98,383657
Meyar Sanat-a,20131225,974.98,975,975,974.98,73182
Meyar Sanat-a,20131230,974.98,975,975,974.98,1732840
Meyar Sanat-a,20140114,1072.47,1072,1072,1072.47,4298137
Meyar Sanat-a,20140929,1072.47,1072,1072,1072.47,1107852
Meyar Sanat-a,20150107,1072.47,1072,1072,1072.47,7000
Meyar Sanat-a,20150114,692.23,692,692,692.23,5668
Meyar Sanat-a,20150118,974.98,975,975,974.98,5668
Meyar Sanat-a,20150301,974.98,975,975,974.98,200000
Meyar Sanat-a,20150517,489.44,489,489,489.44,3000
Meyar Sanat-a,20150721,683.46,683,683,683.46,3000
Meyar Sanat-a,20160105,683.46,683,683,683.46,7000
Meyar Sanat-a,20160106,682.48,682,682,682.48,5932
Meyar Sanat-a,20160109,682.48,682,682,682.48,1000
Meyar Sanat-a,20160116,682.48,682,682,682.48,10200
Meyar Sanat-a,20160120,682.48,682,682,682.48,17115
Meyar Sanat-a,20160425,682.48,682,682,682.48,30000
Meyar Sanat-a,20160611,731.23,731,731,731.23,60000
Meyar Sanat-a,20160702,779.98,781,780,780.96,50000
Meyar Sanat-a,20160831,779.98,780,780,779.98,100
Meyar Sanat-a,20170313,789.73,790,790,789.73,1500
Meyar Sanat-a,20170318,710.76,711,711,710.76,8500
Meyar Sanat-a,20170412,749.76,750,750,749.76,7010
Meyar Sanat-a,20170415,789.73,790,790,789.73,2000
Meyar Sanat-a,20170528,866.75,868,867,867.73,45009
Meyar Sanat-a,20170606,954.50,955,955,954.50,11009
Meyar Sanat-a,20170607,1049.08,1049,1049,1049.08,15000
Meyar Sanat-a,20170610,1153.40,1153,1153,1153.40,17976
Meyar Sanat-a,20170618,1268.45,1268,1268,1268.45,8000
Meyar Sanat-a,20170619,1395.19,1395,1395,1395.19,14948
Meyar Sanat-a,20170718,1534.61,1535,1535,1534.61,4057
Meyar Sanat-a,20170806,1534.61,1535,1535,1534.61,528275
Meyar Sanat-a,20170814,1687.69,1688,1688,1687.69,59900
Meyar Sanat-a,20170816,1856.36,1856,1856,1856.36,88970
Meyar Sanat-a,20170820,2041.60,2042,2042,2041.60,3285810
Meyar Sanat-a,20170821,2237.57,2238,1874,2056.23,2076878
Meyar Sanat-a,20170822,1892.43,2047,1855,1970.43,778795
Meyar Sanat-a,20170823,1979.20,2088,1843,1961.65,1250025
Meyar Sanat-a,20170826,1804.68,1921,1771,1799.81,613989
Meyar Sanat-a,20170827,1689.64,1882,1689,1760.81,485118
Meyar Sanat-a,20170828,1823.21,1936,1823,1920.70,441726
Meyar Sanat-a,20170829,1988.95,2085,1901,2026.98,3326815
Meyar Sanat-a,20170830,2093.28,2228,2057,2116.68,1411778
Meyar Sanat-a,20170902,2228.80,2319,2107,2226.85,1079700
Meyar Sanat-a,20170903,2229.77,2230,2005,2063.05,1668723
Meyar Sanat-a,20170904,2075.73,2078,1922,2008.45,634643
Meyar Sanat-a,20170905,1949.95,2047,1823,1916.80,899862
Meyar Sanat-a,20170906,1891.46,1999,1781,1947.03,339466
Meyar Sanat-a,20170910,1862.21,1979,1823,1841.73,47446
Meyar Sanat-a,20170911,1658.44,1733,1658,1660.39,1545058
Meyar Sanat-a,20170912,1513.16,1559,1495,1507.31,673264
Meyar Sanat-a,20170913,1413.72,1570,1404,1464.42,483911
Meyar Sanat-a,20170916,1464.42,1611,1342,1374.72,1117613
Meyar Sanat-a,20170925,1462.47,1462,1366,1459.54,395094
Meyar Sanat-a,20170927,1459.54,1460,1460,1459.54,22170
Meyar Sanat-a,20171002,1462.47,1462,1409,1439.07,43100
